vehicle_set_id,number_of_vehicles,creation_time_laps,type
678289,5,4.824577,random
678495,10,5.002715,random
678994,15,5.953286,random
679719,21,10.072011,random
681111,27,8.112096,random
682364,10,3.19378,random
682799,20,5.31383,random
683890,5,1.437607,random
684092,10,2.889916,random
684688,15,3.87641,random
685507,21,5.502124,random
686560,27,8.155318,random
688224,10,3.04652,random
688659,20,5.213021,random
689750,5,0.957898,random
689909,10,2.468786,random
690364,15,3.337679,random
691000,21,5.274251,random
691984,27,7.071266,random
693244,10,2.601385,random
693679,20,5.887034,random
694770,5,1.148048,random
694964,10,1.98194,random
695271,15,3.682263,random
695950,21,5.171767,random
696832,27,8.039574,random
698239,10,2.888636,random
698674,20,5.990805,random
699765,5,1.609728,random
700074,10,2.519312,random
700512,15,4.402617,random
701363,21,6.652541,random
702541,27,9.187906,random
704197,10,2.883061,random
704632,20,5.942579,random
705723,5,1.764219,random
706015,10,2.840116,random
706499,15,4.543102,random
707299,21,6.727643,random
708476,27,9.021841,random
709913,10,2.847588,random
710348,20,6.209916,random
711439,5,1.496639,random
711701,10,2.99248,random
712193,15,5.30232,random
713064,21,6.900883,random
714149,27,8.674407,random
715544,10,2.970347,random
715979,20,6.5031,random
717070,5,1.835136,random
717299,10,3.064771,random
717766,15,4.495764,random
718516,21,7.577951,random
719679,27,8.200759,random
720967,10,2.840288,random
721402,20,7.059756,random
722493,5,1.284308,random
722678,10,3.352804,random
723243,15,6.200008,random
724067,21,7.353983,random
725255,27,10.028059,random
726840,10,2.836752,random
727275,20,7.274669,random
728366,5,2.399256,random
728715,10,3.517561,random
729311,15,5.11502,random
730087,21,7.8338,random
731294,27,9.872421,random
732903,10,4.249092,random
733338,20,7.00013,random
734429,5,1.730076,random
734659,10,3.452042,random
735166,15,5.506762,random
735878,21,8.08894,random
737110,27,10.608401,random
738538,10,3.206195,random
738973,20,7.562858,random
740064,5,1.281561,random
740199,10,3.091037,random
740625,15,5.543133,random
741377,21,7.978984,random
742366,27,11.340836,random
744005,10,3.210096,random
744440,20,7.98705,random
745531,5,2.364754,random
745877,10,3.679201,random
746426,15,6.26987,random
747148,21,7.821211,random
748154,27,10.356695,random
749569,10,3.426961,random
750004,20,8.450783,random
751095,5,1.774331,random
751343,10,4.062061,random
751843,15,5.603731,random
752570,21,7.871332,random
753418,27,10.253676,random
754797,10,3.898714,random
755232,20,7.906627,random
756323,5,2.013624,random
756591,10,4.156213,random
757080,15,5.839457,random
757858,21,10.247878,random
758943,27,11.786115,random
760463,10,4.321088,random
760898,20,8.021965,random
761989,5,2.095764,random
762289,10,3.782086,random
762696,15,6.334899,random
763562,21,9.0304,random
764724,27,11.422637,random
766147,10,4.178252,random
766582,20,8.544599,random
767673,5,1.571691,random
767804,10,4.495868,random
768260,15,5.528068,random
768895,21,9.417442,random
770118,27,10.847829,random
771442,10,4.259099,random
771877,20,8.390809,random
772968,5,2.4021,random
773228,10,4.70602,random
773727,15,5.77562,random
774373,21,9.75492,random
775518,27,10.733396,random
776738,10,4.47046,random
777173,20,8.597362,random
778264,5,2.908272,random
778587,10,4.752416,random
779140,15,6.7795,random
779984,21,9.983767,random
781012,27,13.898324,random
782384,10,4.210413,random
782819,20,9.309349,random
783910,5,2.082264,random
784120,10,5.200316,random
784652,15,7.776821,random
785506,21,9.285982,random
786595,27,13.337716,random
787894,10,4.807185,random
788329,20,9.228163,random
789420,5,2.51723,random
789750,10,5.431508,random
790378,15,7.831228,random
791419,21,9.929742,random
792485,27,12.993864,random
793875,10,4.887556,random
794310,20,9.841867,random
795401,5,2.784128,random
795747,10,4.74725,random
796288,15,7.113209,random
796975,21,10.401328,random
798175,27,11.678531,random
799332,10,4.613534,random
799767,20,10.578932,random
800858,5,2.130646,random
801022,10,5.551698,random
801534,15,7.083747,random
802259,21,9.986327,random
803263,27,12.991057,random
804596,10,4.713969,random
805031,20,10.156658,random
806122,5,2.362815,random
806339,10,6.051279,random
806871,15,7.040626,random
807523,21,11.551683,random
808805,27,13.354609,random
810065,10,4.541125,random
810500,20,10.316539,random
811591,5,2.577418,random
811829,10,4.621165,random
812236,15,9.523613,random
813166,21,10.493439,random
814286,27,13.903051,random
815746,10,5.472937,random
816181,20,10.836543,random
