vehicle_id,vehicle_creation_time,legal_requirements,technical_requirements,average_speed,earliest_departure,latest_arrival,vehicle_set_id,total_route_nodes_created
233057,1.922256,standard,standard,60.0,2026-04-02T02:31:52.085790,2026-04-02T03:31:52.085790,233056,310
233369,0.925082,standard,standard,60.0,2026-04-02T02:31:56.519076,2026-04-02T03:31:56.519076,233056,303
233674,0.391942,standard,standard,60.0,2026-04-02T02:32:00.293735,2026-04-02T03:32:00.293735,233056,118
233794,1.296552,standard,standard,60.0,2026-04-02T02:32:01.250070,2026-04-02T03:32:01.250070,233056,301
234097,0.403257,standard,standard,60.0,2026-04-02T02:32:04.278235,2026-04-02T03:32:04.278235,233056,176
234275,0.222515,standard,standard,60.0,2026-04-02T02:32:05.602052,2026-04-02T03:32:05.602052,233056,246
234523,0.246609,standard,standard,60.0,2026-04-02T02:32:07.179368,2026-04-02T03:32:07.179368,233056,244
234769,0.731225,standard,standard,60.0,2026-04-02T02:32:08.481360,2026-04-02T03:32:08.481360,233056,536
235307,1.355305,standard,standard,60.0,2026-04-02T02:32:11.964878,2026-04-02T03:32:11.964878,233056,637
235946,0.104257,standard,standard,60.0,2026-04-02T02:32:15.985925,2026-04-02T03:32:15.985925,233056,124
236072,0.678875,standard,standard,60.0,2026-04-02T02:32:16.632814,2026-04-02T03:32:16.632814,233056,447
236521,0.105113,standard,standard,60.0,2026-04-02T02:32:19.099542,2026-04-02T03:32:19.099542,233056,71
236594,0.452078,standard,standard,60.0,2026-04-02T02:32:19.511310,2026-04-02T03:32:19.511310,233056,435
237031,0.545654,standard,standard,60.0,2026-04-02T02:32:21.699095,2026-04-02T03:32:21.699095,233056,241
237274,0.180789,standard,standard,60.0,2026-04-02T02:32:23.409993,2026-04-02T03:32:23.409993,233056,137
