vehicle_id,vehicle_creation_time,legal_requirements,technical_requirements,average_speed,earliest_departure,latest_arrival,vehicle_set_id,total_route_nodes_created
228259,11.464765,standard,standard,60.0,2026-03-18T17:12:33.469035,2026-03-18T18:12:33.469035,228239,177
228438,1.080636,standard,standard,60.0,2026-03-18T17:12:47.895320,2026-03-18T18:12:47.895320,228239,39
228479,4.337599,standard,standard,60.0,2026-03-18T17:12:49.247698,2026-03-18T18:12:49.247698,228239,477
228958,2.563366,standard,standard,60.0,2026-03-18T17:12:56.177020,2026-03-18T18:12:56.177020,228239,523
229483,1.107034,standard,standard,60.0,2026-03-18T17:13:03.054494,2026-03-18T18:13:03.054494,228239,354
229839,0.788855,standard,standard,60.0,2026-03-18T17:13:06.082572,2026-03-18T18:13:06.082572,228239,202
230043,0.598145,standard,standard,60.0,2026-03-18T17:13:08.102184,2026-03-18T18:13:08.102184,228239,185
230230,0.988525,standard,standard,60.0,2026-03-18T17:13:09.668717,2026-03-18T18:13:09.668717,228239,353
230585,0.366339,standard,standard,60.0,2026-03-18T17:13:12.363858,2026-03-18T18:13:12.363858,228239,186
230773,0.558746,standard,standard,60.0,2026-03-18T17:13:13.461399,2026-03-18T18:13:13.461399,228239,455
231230,0.233664,standard,standard,60.0,2026-03-18T17:13:15.869503,2026-03-18T18:13:15.869503,228239,245
231477,0.118284,standard,standard,60.0,2026-03-18T17:13:17.068531,2026-03-18T18:13:17.068531,228239,164
231643,0.125026,standard,standard,60.0,2026-03-18T17:13:17.917691,2026-03-18T18:13:17.917691,228239,189
231834,0.588741,standard,standard,60.0,2026-03-18T17:13:18.776120,2026-03-18T18:13:18.776120,228239,236
232072,0.722081,standard,standard,60.0,2026-03-18T17:13:20.518296,2026-03-18T18:13:20.518296,228239,413
