vehicle_id,vehicle_creation_time,legal_requirements,technical_requirements,average_speed,earliest_departure,latest_arrival,vehicle_set_id,total_route_nodes_created
244317,0.427369,standard,standard,60.0,2026-04-02T19:20:51.004535,2026-04-02T20:20:51.004535,244316,125
244444,0.896851,standard,standard,60.0,2026-04-02T19:20:52.833932,2026-04-02T20:20:52.833932,244316,98
244544,1.562526,standard,standard,60.0,2026-04-02T19:20:54.228613,2026-04-02T20:20:54.228613,244316,517
245063,0.645196,standard,standard,60.0,2026-04-02T19:20:58.615226,2026-04-02T20:20:58.615226,244316,376
245441,0.661705,standard,standard,60.0,2026-04-02T19:21:01.115601,2026-04-02T20:21:01.115601,244316,218
245661,1.969549,standard,standard,60.0,2026-04-02T19:21:03.007330,2026-04-02T20:21:03.007330,244316,712
246375,1.938726,standard,standard,60.0,2026-04-02T19:21:08.300662,2026-04-02T20:21:08.300662,244316,742
