vehicle_id,vehicle_creation_time,legal_requirements,technical_requirements,average_speed,earliest_departure,latest_arrival,vehicle_set_id,total_route_nodes_created
672023,1.681393,standard,standard,60.0,2026-01-22T11:49:09.138507,2026-01-22T12:49:09.138507,672022,25
672050,0.251481,standard,standard,60.0,2026-01-22T11:49:11.308136,2026-01-22T12:49:11.308136,672022,73
672125,0.075704,standard,standard,60.0,2026-01-22T11:49:12.224834,2026-01-22T12:49:12.224834,672022,35
672162,0.057052,standard,standard,60.0,2026-01-22T11:49:12.616946,2026-01-22T12:49:12.616946,672022,22
672186,0.037115,standard,standard,60.0,2026-01-22T11:49:13.035465,2026-01-22T12:49:13.035465,672022,24
672212,0.050982,standard,standard,60.0,2026-01-22T11:49:13.315851,2026-01-22T12:49:13.315851,672022,43
672257,0.070307,standard,standard,60.0,2026-01-22T11:49:13.702084,2026-01-22T12:49:13.702084,672022,70
672329,0.040754,standard,standard,60.0,2026-01-22T11:49:14.217784,2026-01-22T12:49:14.217784,672022,30
672361,0.044805,standard,standard,60.0,2026-01-22T11:49:14.464863,2026-01-22T12:49:14.464863,672022,41
672404,0.051198,standard,standard,60.0,2026-01-22T11:49:14.809054,2026-01-22T12:49:14.809054,672022,45
672451,0.026,standard,standard,60.0,2026-01-22T11:49:15.091994,2026-01-22T12:49:15.091994,672022,53
672506,0.077003,standard,standard,60.0,2026-01-22T11:49:15.585048,2026-01-22T12:49:15.585048,672022,63
672571,0.049177,standard,standard,60.0,2026-01-22T11:49:16.281964,2026-01-22T12:49:16.281964,672022,58
672631,0.015776,standard,standard,60.0,2026-01-22T11:49:16.753128,2026-01-22T12:49:16.753128,672022,13
672646,0.056634,standard,standard,60.0,2026-01-22T11:49:16.861016,2026-01-22T12:49:16.861016,672022,71
672719,0.01872,standard,standard,60.0,2026-01-22T11:49:17.328299,2026-01-22T12:49:17.328299,672022,15
672736,0.040586,standard,standard,60.0,2026-01-22T11:49:17.466553,2026-01-22T12:49:17.466553,672022,48
672786,0.056946,standard,standard,60.0,2026-01-22T11:49:17.835409,2026-01-22T12:49:17.836411,672022,39
672827,0.02643,standard,standard,60.0,2026-01-22T11:49:18.196763,2026-01-22T12:49:18.196763,672022,29
672858,0.030675,standard,standard,60.0,2026-01-22T11:49:18.461377,2026-01-22T12:49:18.461377,672022,26
