vehicle_id,vehicle_creation_time,legal_requirements,technical_requirements,average_speed,earliest_departure,latest_arrival,vehicle_set_id,total_route_nodes_created
641032,0.039138,standard,standard,54.666666666666664,2025-12-18T19:01:06.037074,2025-12-18T20:01:06.037074,641031,56
641090,0.033356,standard,standard,55.666666666666664,2025-12-18T19:01:06.317087,2025-12-18T20:01:06.317087,641031,75
641167,0.018247,standard,standard,55.666666666666664,2025-12-18T19:01:06.703360,2025-12-18T20:01:06.703360,641031,46
641215,0.036034,standard,standard,58.666666666666664,2025-12-18T19:01:06.918970,2025-12-18T20:01:06.918970,641031,94
641311,0.020274,standard,standard,61.0,2025-12-18T19:01:07.434781,2025-12-18T20:01:07.434781,641031,34
641347,0.039928,standard,standard,57.0,2025-12-18T19:01:07.636302,2025-12-18T20:01:07.636302,641031,80
641429,0.029177,standard,standard,56.666666666666664,2025-12-18T19:01:07.978738,2025-12-18T20:01:07.978738,641031,61
641492,0.019794,standard,standard,61.0,2025-12-18T19:01:08.243724,2025-12-18T20:01:08.243724,641031,58
641552,0.032294,standard,standard,59.0,2025-12-18T19:01:08.475362,2025-12-18T20:01:08.475362,641031,100
641654,0.018272,standard,standard,62.666666666666664,2025-12-18T19:01:08.853071,2025-12-18T20:01:08.853071,641031,52
641708,0.026743,standard,standard,55.666666666666664,2025-12-18T19:01:09.078682,2025-12-18T20:01:09.078682,641031,96
641806,0.047071,standard,standard,57.666666666666664,2025-12-18T19:01:09.469858,2025-12-18T20:01:09.469858,641031,32
641840,0.0089,standard,standard,54.333333333333336,2025-12-18T19:01:09.697811,2025-12-18T20:01:09.697811,641031,17
641859,0.024823,standard,standard,55.0,2025-12-18T19:01:09.848278,2025-12-18T20:01:09.848278,641031,49
641910,0.04559,standard,standard,53.0,2025-12-18T19:01:10.172050,2025-12-18T20:01:10.172050,641031,46
641959,0.02,standard,standard,58.0,2025-12-18T19:01:10.579484,2025-12-18T20:01:10.579484,641958,35
641996,0.021311,standard,standard,57.0,2025-12-18T19:01:10.808133,2025-12-18T20:01:10.808133,641958,48
642046,0.02585,standard,standard,56.333333333333336,2025-12-18T19:01:11.067082,2025-12-18T20:01:11.067082,641958,59
642107,0.013951,standard,standard,63.0,2025-12-18T19:01:11.321531,2025-12-18T20:01:11.321531,641958,35
642144,0.025587,standard,standard,58.0,2025-12-18T19:01:11.469938,2025-12-18T20:01:11.469938,641958,83
642229,0.0443,standard,standard,63.666666666666664,2025-12-18T19:01:11.981107,2025-12-18T20:01:11.981107,641958,46
642277,0.058788,standard,standard,57.333333333333336,2025-12-18T19:01:12.316614,2025-12-18T20:01:12.316614,641958,71
642350,0.047183,standard,standard,56.666666666666664,2025-12-18T19:01:12.664417,2025-12-18T20:01:12.664417,641958,115
642467,0.014033,standard,standard,58.333333333333336,2025-12-18T19:01:13.136235,2025-12-18T20:01:13.136235,641958,33
642502,0.038436,standard,standard,60.333333333333336,2025-12-18T19:01:13.294077,2025-12-18T20:01:13.294077,641958,72
642576,0.085613,standard,standard,57.333333333333336,2025-12-18T19:01:13.662376,2025-12-18T20:01:13.662376,641958,90
642668,0.017724,standard,standard,60.0,2025-12-18T19:01:14.371587,2025-12-18T20:01:14.371587,641958,40
642710,0.009176,standard,standard,57.333333333333336,2025-12-18T19:01:14.559605,2025-12-18T20:01:14.559605,641958,21
642733,0.01324,standard,standard,55.333333333333336,2025-12-18T19:01:14.685156,2025-12-18T20:01:14.685156,641958,26
642761,0.045696,standard,standard,58.666666666666664,2025-12-18T19:01:14.859674,2025-12-18T20:01:14.859674,641958,49
642812,0.033978,standard,standard,53.333333333333336,2025-12-18T19:01:15.213779,2025-12-18T20:01:15.213779,641958,37
642851,0.020377,standard,standard,55.333333333333336,2025-12-18T19:01:15.523633,2025-12-18T20:01:15.523633,641958,23
642876,0.045594,standard,standard,60.0,2025-12-18T19:01:15.712573,2025-12-18T20:01:15.712573,641958,42
642920,0.03805,standard,standard,56.0,2025-12-18T19:01:15.981136,2025-12-18T20:01:15.981136,641958,66
642988,0.051144,standard,standard,54.333333333333336,2025-12-18T19:01:16.344181,2025-12-18T20:01:16.345182,641958,57
643047,0.020313,standard,standard,61.333333333333336,2025-12-18T19:01:16.674607,2025-12-18T20:01:16.674607,641958,48
643097,0.017111,standard,standard,57.666666666666664,2025-12-18T19:01:16.945348,2025-12-18T20:01:16.945348,641958,31
643130,0.027292,standard,standard,62.333333333333336,2025-12-18T19:01:17.091172,2025-12-18T20:01:17.091172,641958,59
643191,0.028316,standard,standard,61.0,2025-12-18T19:01:17.333332,2025-12-18T20:01:17.333332,641958,79
643272,0.025692,standard,standard,56.666666666666664,2025-12-18T19:01:17.623101,2025-12-18T20:01:17.623101,641958,84
643358,0.010129,standard,standard,58.666666666666664,2025-12-18T19:01:17.938734,2025-12-18T20:01:17.938734,641958,27
643387,0.01013,standard,standard,60.666666666666664,2025-12-18T19:01:18.058856,2025-12-18T20:01:18.058856,641958,24
