vehicle_id,vehicle_creation_time,legal_requirements,technical_requirements,average_speed,earliest_departure,latest_arrival,vehicle_set_id,total_route_nodes_created
720152,1.513513,standard,standard,60.0,2026-03-02T23:31:27.784097,2026-03-03T00:31:27.784097,720151,330
720484,0.838388,standard,standard,60.0,2026-03-02T23:31:30.530073,2026-03-03T00:31:30.530097,720151,345
720831,2.156363,standard,standard,60.0,2026-03-02T23:31:33.087531,2026-03-03T00:31:33.087531,720151,557
721390,2.453475,standard,standard,60.0,2026-03-02T23:31:37.103239,2026-03-03T00:31:37.103239,720151,520
721912,0.34294,standard,standard,60.0,2026-03-02T23:31:41.326822,2026-03-03T00:31:41.326822,720151,60
721974,3.023827,standard,standard,60.0,2026-03-02T23:31:41.919211,2026-03-03T00:31:41.919211,720151,715
722691,2.502553,standard,standard,60.0,2026-03-02T23:31:47.358646,2026-03-03T00:31:47.358646,720151,465
723158,0.273455,standard,standard,60.0,2026-03-02T23:31:51.361604,2026-03-03T00:31:51.361604,720151,344
723504,1.082952,standard,standard,60.0,2026-03-02T23:31:52.765097,2026-03-03T00:31:52.765097,720151,220
723726,1.329037,standard,standard,60.0,2026-03-02T23:31:54.714942,2026-03-03T00:31:54.714942,720151,554
724282,0.612168,standard,standard,60.0,2026-03-02T23:31:57.792343,2026-03-03T00:31:57.792343,720151,162
724446,1.277214,standard,standard,60.0,2026-03-02T23:31:59.000696,2026-03-03T00:31:59.000696,720151,212
724660,3.409141,standard,standard,60.0,2026-03-02T23:32:01.101823,2026-03-03T00:32:01.101823,720151,588
725250,1.823226,standard,standard,60.0,2026-03-02T23:32:06.430615,2026-03-03T00:32:06.430615,720151,462
725714,0.859403,standard,standard,60.0,2026-03-02T23:32:09.858439,2026-03-03T00:32:09.858439,720151,208
725925,0.090804,standard,standard,60.0,2026-03-02T23:32:12.266161,2026-03-03T00:32:12.266161,725924,34
725961,2.156842,standard,standard,60.0,2026-03-02T23:32:12.507783,2026-03-03T00:32:12.508293,725924,340
726303,1.825814,standard,standard,60.0,2026-03-02T23:32:15.794140,2026-03-03T00:32:15.794140,725924,536
726841,0.925031,standard,standard,60.0,2026-03-02T23:32:19.655214,2026-03-03T00:32:19.655214,725924,171
727014,0.640694,standard,standard,60.0,2026-03-02T23:32:21.267219,2026-03-03T00:32:21.267219,725924,279
727295,1.810624,standard,standard,60.0,2026-03-02T23:32:22.912293,2026-03-03T00:32:22.912293,725924,208
