vehicle_id,vehicle_creation_time,legal_requirements,technical_requirements,average_speed,earliest_departure,latest_arrival,vehicle_set_id,total_route_nodes_created
662305,0.025898,standard,standard,57.666666666666664,2025-12-19T12:36:55.574752,2025-12-19T13:36:55.574752,662304,41
662348,0.019084,standard,standard,57.666666666666664,2025-12-19T12:36:55.810184,2025-12-19T13:36:55.810184,662304,35
662385,0.030555,standard,standard,62.666666666666664,2025-12-19T12:36:55.981868,2025-12-19T13:36:55.981868,662304,69
662456,0.013804,standard,standard,57.0,2025-12-19T12:36:56.340220,2025-12-19T13:36:56.340220,662304,40
662498,0.065809,standard,standard,61.666666666666664,2025-12-19T12:36:56.518124,2025-12-19T13:36:56.518124,662304,90
662590,0.03837,standard,standard,61.0,2025-12-19T12:36:57.147868,2025-12-19T13:36:57.147868,662304,86
662678,0.023754,standard,standard,58.666666666666664,2025-12-19T12:36:57.681521,2025-12-19T13:36:57.681521,662304,48
662728,0.029751,standard,standard,59.0,2025-12-19T12:36:57.897006,2025-12-19T13:36:57.897006,662304,56
662786,0.014148,standard,standard,58.333333333333336,2025-12-19T12:36:58.129610,2025-12-19T13:36:58.129610,662304,27
662815,0.009492,standard,standard,59.666666666666664,2025-12-19T12:36:58.256663,2025-12-19T13:36:58.256663,662304,14
662831,0.031344,standard,standard,60.0,2025-12-19T12:36:58.333980,2025-12-19T13:36:58.333980,662304,83
662916,0.017588,standard,standard,53.666666666666664,2025-12-19T12:36:58.827192,2025-12-19T13:36:58.827192,662304,43
662961,0.007003,standard,standard,58.666666666666664,2025-12-19T12:36:59.014068,2025-12-19T13:36:59.014068,662304,5
662968,0.028999,standard,standard,56.666666666666664,2025-12-19T12:36:59.071073,2025-12-19T13:36:59.071073,662304,53
663023,0.019377,standard,standard,61.666666666666664,2025-12-19T12:36:59.326820,2025-12-19T13:36:59.326820,662304,47
663072,0.072035,standard,standard,59.666666666666664,2025-12-19T12:36:59.529204,2025-12-19T13:36:59.529204,662304,53
663127,0.051498,standard,standard,51.666666666666664,2025-12-19T12:36:59.969637,2025-12-19T13:36:59.969637,662304,83
663212,0.014546,standard,standard,59.333333333333336,2025-12-19T12:37:00.399361,2025-12-19T13:37:00.399361,662304,12
663226,0.049008,standard,standard,58.333333333333336,2025-12-19T12:37:00.575690,2025-12-19T13:37:00.575690,662304,35
663263,0.017796,standard,standard,57.0,2025-12-19T12:37:00.816409,2025-12-19T13:37:00.816409,662304,62
663327,0.035181,standard,standard,62.333333333333336,2025-12-19T12:37:01.079951,2025-12-19T13:37:01.080955,662304,54
663383,0.029577,standard,standard,55.333333333333336,2025-12-19T12:37:01.397056,2025-12-19T13:37:01.397056,662304,65
663451,0.014282,standard,standard,56.666666666666664,2025-12-19T12:37:01.858721,2025-12-19T13:37:01.858721,663450,38
663491,0.044198,standard,standard,58.666666666666664,2025-12-19T12:37:02.069936,2025-12-19T13:37:02.069936,663450,48
663541,0.025997,standard,standard,53.0,2025-12-19T12:37:02.408322,2025-12-19T13:37:02.408322,663450,49
663592,0.017997,standard,standard,58.666666666666664,2025-12-19T12:37:02.827111,2025-12-19T13:37:02.827111,663450,36
663630,0.030995,standard,standard,62.666666666666664,2025-12-19T12:37:03.066948,2025-12-19T13:37:03.066948,663450,47
663679,0.041535,standard,standard,53.333333333333336,2025-12-19T12:37:03.432176,2025-12-19T13:37:03.432176,663450,42
663723,0.016215,standard,standard,54.0,2025-12-19T12:37:03.677411,2025-12-19T13:37:03.677411,663450,49
