platoon_id,number_of_events,vehicle_set,test_case_duration_time
640783,24,635921,3.0817973613739014
640831,17,635921,3.0817973613739014
640824,11,635921,3.0817973613739014
640863,10,635921,3.0817973613739014
640851,5,635921,3.0817973613739014
640893,5,635921,3.0817973613739014
640882,3,635921,3.0817973613739014
640821,2,635921,3.0817973613739014
640939,24,640328,2.3578662872314453
640989,17,640328,2.3578662872314453
640926,13,640328,2.3578662872314453
640902,10,640328,2.3578662872314453
641022,5,640328,2.3578662872314453
641005,4,640328,2.3578662872314453
640921,3,640328,2.3578662872314453
640986,2,640328,2.3578662872314453
