vehicle_id,vehicle_creation_time,legal_requirements,technical_requirements,average_speed,earliest_departure,latest_arrival,vehicle_set_id,total_route_nodes_created
658405,0.126783,standard,standard,63.333333333333336,2025-12-19T12:35:48.157902,2025-12-19T13:35:48.157902,658404,27
658434,0.102577,standard,standard,60.333333333333336,2025-12-19T12:35:48.627517,2025-12-19T13:35:48.627517,658404,68
658504,0.020705,standard,standard,56.333333333333336,2025-12-19T12:35:49.330118,2025-12-19T13:35:49.330118,658404,49
658555,0.017985,standard,standard,60.0,2025-12-19T12:35:49.598533,2025-12-19T13:35:49.598533,658404,23
658580,0.043456,standard,standard,61.0,2025-12-19T12:35:49.787912,2025-12-19T13:35:49.787912,658404,65
658647,0.028544,standard,standard,56.0,2025-12-19T12:35:50.109425,2025-12-19T13:35:50.109425,658404,55
658704,0.044337,standard,standard,61.0,2025-12-19T12:35:50.418300,2025-12-19T13:35:50.418300,658404,79
658785,0.113055,standard,standard,53.0,2025-12-19T12:35:50.911822,2025-12-19T13:35:50.911822,658404,20
658807,0.050867,standard,standard,54.333333333333336,2025-12-19T12:35:51.325846,2025-12-19T13:35:51.325846,658404,34
658843,0.022125,standard,standard,65.33333333333333,2025-12-19T12:35:51.645725,2025-12-19T13:35:51.645725,658404,42
658887,0.048415,standard,standard,59.666666666666664,2025-12-19T12:35:51.888573,2025-12-19T13:35:51.888573,658404,73
658962,0.02795,standard,standard,61.666666666666664,2025-12-19T12:35:52.667226,2025-12-19T13:35:52.667226,658404,46
659010,0.013849,standard,standard,58.666666666666664,2025-12-19T12:35:52.973534,2025-12-19T13:35:52.973534,658404,15
659027,0.027917,standard,standard,56.666666666666664,2025-12-19T12:35:53.122494,2025-12-19T13:35:53.122494,658404,65
659094,0.044764,standard,standard,58.0,2025-12-19T12:35:53.524498,2025-12-19T13:35:53.524498,658404,92
659188,0.021127,standard,standard,59.333333333333336,2025-12-19T12:35:54.062792,2025-12-19T13:35:54.062792,658404,32
659222,0.037029,standard,standard,60.0,2025-12-19T12:35:54.279233,2025-12-19T13:35:54.279233,658404,50
659274,0.013728,standard,standard,65.33333333333333,2025-12-19T12:35:54.583685,2025-12-19T13:35:54.583685,658404,36
659312,0.016311,standard,standard,55.333333333333336,2025-12-19T12:35:54.781183,2025-12-19T13:35:54.781183,658404,36
