vehicle_id,vehicle_creation_time,legal_requirements,technical_requirements,average_speed,earliest_departure,latest_arrival,vehicle_set_id,total_route_nodes_created
640812,0.963292,standard,standard,60.0,2025-12-19T12:12:17.643643,2025-12-19T13:12:17.643643,640811,25
650232,0.474491,standard,standard,53.333333333333336,2025-12-19T12:12:19.422449,2025-12-19T13:12:19.422449,640811,65
650299,0.193699,standard,standard,54.333333333333336,2025-12-19T12:12:20.668740,2025-12-19T13:12:20.668740,640811,88
650389,0.085951,standard,standard,60.666666666666664,2025-12-19T12:12:22.030829,2025-12-19T13:12:22.031831,640811,74
650465,0.072642,standard,standard,53.0,2025-12-19T12:12:23.040288,2025-12-19T13:12:23.040288,640811,50
650517,0.056343,standard,standard,54.333333333333336,2025-12-19T12:12:23.605785,2025-12-19T13:12:23.605785,640811,43
650562,0.049573,standard,standard,53.0,2025-12-19T12:12:24.168992,2025-12-19T13:12:24.168992,640811,18
650582,0.067365,standard,standard,55.0,2025-12-19T12:12:24.362179,2025-12-19T13:12:24.362179,640811,77
650661,0.068895,standard,standard,56.666666666666664,2025-12-19T12:12:24.994710,2025-12-19T13:12:24.994710,640811,91
650754,0.040072,standard,standard,63.333333333333336,2025-12-19T12:12:25.828079,2025-12-19T13:12:25.828079,640811,22
650778,0.032742,standard,standard,63.333333333333336,2025-12-19T12:12:26.041251,2025-12-19T13:12:26.041251,640811,29
650809,0.042061,standard,standard,54.0,2025-12-19T12:12:26.366144,2025-12-19T13:12:26.366144,640811,37
650848,0.053132,standard,standard,60.0,2025-12-19T12:12:26.640022,2025-12-19T13:12:26.640022,640811,68
650918,0.086007,standard,standard,58.666666666666664,2025-12-19T12:12:27.389298,2025-12-19T13:12:27.389298,640811,112
651032,0.076832,standard,standard,62.333333333333336,2025-12-19T12:12:28.595951,2025-12-19T13:12:28.595951,640811,103
651137,0.029316,standard,standard,60.333333333333336,2025-12-19T12:12:29.322287,2025-12-19T13:12:29.322287,640811,25
651164,0.032284,standard,standard,59.0,2025-12-19T12:12:29.571094,2025-12-19T13:12:29.571094,640811,22
651188,0.024735,standard,standard,61.666666666666664,2025-12-19T12:12:29.764297,2025-12-19T13:12:29.764297,640811,20
651210,0.02772,standard,standard,58.333333333333336,2025-12-19T12:12:29.933665,2025-12-19T13:12:29.933665,640811,33
651245,0.051425,standard,standard,60.666666666666664,2025-12-19T12:12:30.178137,2025-12-19T13:12:30.178137,640811,63
651310,0.034005,standard,standard,56.0,2025-12-19T12:12:30.858610,2025-12-19T13:12:30.858610,640811,33
651345,0.027496,standard,standard,58.333333333333336,2025-12-19T12:12:31.103290,2025-12-19T13:12:31.103290,640811,33
