platoonEvent_id,event_type,vehicle1_id,route_node1_id,vehicle2_id,route_node2_id,platoon_id,duration
677413_676567,CREATE,677413,677414,676567,676568,677629,0.095937
677413_676567,VIA,677413,677415,676567,676569,677629,0.067782
677413_676567,VIA,677413,677416,676567,676570,677629,0.007
677413_676567,VIA,677413,677417,676567,676571,677629,0.006999
677413_676567,VIA,677413,677418,676567,676572,677629,0.006556
677413_676567,VIA,677413,677419,676567,676573,677629,0.007174
677413_676567,VIA,677413,677420,676567,676574,677629,0.004677
677413_676567,VIA,677413,677421,676567,676575,677629,0.012118
677413_676567,VIA,677413,677422,676567,676576,677629,0.006525
677413_676567,DISSOLVE,677413,677423,676567,676577,677629,0.061531
677413_677289,CREATE,677413,677436,677289,677308,677648,0.011622
677413_677289,VIA,677413,677437,677289,677309,677648,0.0
677413_677289,VIA,677413,677438,677289,677310,677648,0.001059
677413_677289,VIA,677413,677439,677289,677311,677648,0.002878
677413_677289,VIA,677413,677440,677289,677312,677648,0.004176
677413_677289,VIA,677413,677441,677289,677313,677648,0.0
677413_677289,VIA,677413,677442,677289,677314,677648,0.010325
677413_677289,VIA,677413,677443,677289,677315,677648,0.00961
677413_677289,VIA,677413,677444,677289,677316,677648,0.007555
677413_677289,VIA,677413,677445,677289,677317,677648,0.0
677413_677289,VIA,677413,677446,677289,677318,677648,0.008743
677413_677289,VIA,677413,677447,677289,677319,677648,0.007008
677413_677289,VIA,677413,677448,677289,677320,677648,0.006521
677413_677289,VIA,677413,677449,677289,677321,677648,0.014886
677413_677289,VIA,677413,677450,677289,677322,677648,0.005879
677413_677289,VIA,677413,677451,677289,677323,677648,0.0
677413_677289,VIA,677413,677452,677289,677324,677648,0.008772
677413_677289,VIA,677413,677453,677289,677325,677648,0.008105
677413_677289,VIA,677413,677454,677289,677326,677648,0.009521
677413_677289,VIA,677413,677455,677289,677327,677648,0.0
677413_677289,VIA,677413,677456,677289,677328,677648,0.00306
677413_677289,VIA,677413,677457,677289,677329,677648,0.010064
677413_677289,VIA,677413,677458,677289,677330,677648,0.007425
677413_677289,VIA,677413,677459,677289,677331,677648,0.013919
677413_677289,VIA,677413,677460,677289,677332,677648,0.013267
677413_677289,VIA,677413,677461,677289,677333,677648,0.005093
677413_677289,DISSOLVE,677413,677462,677289,677334,677648,5.2e-05
677413_677255,CREATE,677413,677426,677255,677256,677701,0.004159
677413_677255,VIA,677413,677427,677255,677257,677701,0.006853
677413_677255,VIA,677413,677428,677255,677258,677701,0.006714
677413_677255,VIA,677413,677429,677255,677259,677701,0.010548
677413_677255,VIA,677413,677430,677255,677260,677701,0.005546
677413_677255,VIA,677413,677431,677255,677261,677701,0.007623
677413_677255,VIA,677413,677432,677255,677262,677701,0.0
