vehicle_id,vehicle_creation_time,legal_requirements,technical_requirements,average_speed,earliest_departure,latest_arrival,vehicle_set_id,total_route_nodes_created
859805,0.861544,standard,standard,60.0,2026-02-16T00:27:23.106820,2026-02-16T01:27:23.106820,859804,8
859815,0.041389,standard,standard,60.0,2026-02-16T00:27:24.295705,2026-02-16T01:27:24.295705,859804,5
859822,0.116671,standard,standard,60.0,2026-02-16T00:27:24.442887,2026-02-16T01:27:24.442887,859804,13
859837,0.170805,standard,standard,60.0,2026-02-16T00:27:24.716434,2026-02-16T01:27:24.716434,859804,44
859883,0.242139,standard,standard,60.0,2026-02-16T00:27:25.359826,2026-02-16T01:27:25.359826,859804,64
859949,0.070264,standard,standard,60.0,2026-02-16T00:27:26.528159,2026-02-16T01:27:26.528159,859804,50
860001,0.0348,standard,standard,60.0,2026-02-16T00:27:27.105958,2026-02-16T01:27:27.105958,859804,27
860030,0.03321,standard,standard,60.0,2026-02-16T00:27:27.356351,2026-02-16T01:27:27.356351,859804,39
860071,0.094545,standard,standard,60.0,2026-02-16T00:27:27.781959,2026-02-16T01:27:27.781959,859804,65
860138,0.04018,standard,standard,60.0,2026-02-16T00:27:28.386380,2026-02-16T01:27:28.386380,859804,22
860163,0.201797,standard,standard,60.0,2026-02-16T00:27:29.055345,2026-02-16T01:27:29.055345,860162,27
860192,0.046361,standard,standard,60.0,2026-02-16T00:27:29.456073,2026-02-16T01:27:29.456073,860162,30
860224,0.100376,standard,standard,60.0,2026-02-16T00:27:29.852013,2026-02-16T01:27:29.852013,860162,68
860294,0.034948,standard,standard,60.0,2026-02-16T00:27:30.615214,2026-02-16T01:27:30.615214,860162,28
860324,0.190645,standard,standard,60.0,2026-02-16T00:27:30.987572,2026-02-16T01:27:30.987572,860162,113
860439,0.035512,standard,standard,60.0,2026-02-16T00:27:31.975815,2026-02-16T01:27:31.975815,860162,28
860469,0.07472,standard,standard,60.0,2026-02-16T00:27:32.250844,2026-02-16T01:27:32.250844,860162,70
860541,0.058423,standard,standard,60.0,2026-02-16T00:27:32.856467,2026-02-16T01:27:32.856467,860162,46
860589,0.086757,standard,standard,60.0,2026-02-16T00:27:33.319573,2026-02-16T01:27:33.319573,860162,87
860678,0.082897,standard,standard,60.0,2026-02-16T00:27:34.159217,2026-02-16T01:27:34.159217,860162,75
860756,0.275793,standard,standard,60.0,2026-02-16T00:27:35.310081,2026-02-16T01:27:35.310081,860755,18
860776,0.028486,standard,standard,60.0,2026-02-16T00:27:35.831008,2026-02-16T01:27:35.831008,860755,15
860793,0.043125,standard,standard,60.0,2026-02-16T00:27:36.037728,2026-02-16T01:27:36.037728,860755,27
860822,0.037457,standard,standard,60.0,2026-02-16T00:27:36.309908,2026-02-16T01:27:36.309908,860755,56
860880,0.10363,standard,standard,60.0,2026-02-16T00:27:36.890777,2026-02-16T01:27:36.890777,860755,81
