platoon_id,number_of_events,vehicle_set,test_case_duration_time
862542,8,859804,2.575354814529419
862537,3,859804,2.575354814529419
862585,17,860162,2.0884342193603516
862557,12,860162,2.0884342193603516
862618,9,860162,2.0884342193603516
862635,6,860162,2.0884342193603516
862580,3,860162,2.0884342193603516
862731,108,860755,8.8733811378479
862646,44,860755,8.8733811378479
862700,21,860755,8.8733811378479
862713,8,860755,8.8733811378479
862689,6,860755,8.8733811378479
862804,4,860755,8.8733811378479
862922,19,861410,1.4703683853149414
862911,6,861410,1.4703683853149414
862959,12,861865,2.4251153469085693
862977,10,861865,2.4251153469085693
862999,7,861865,2.4251153469085693
862970,4,861865,2.4251153469085693
862996,4,861865,2.4251153469085693
