platoon_id,number_of_events,vehicle_set,test_case_duration_time
604121,24,598026,3.6705849170684814
604058,17,598026,3.6705849170684814
604074,13,598026,3.6705849170684814
604185,10,598026,3.6705849170684814
604168,5,598026,3.6705849170684814
604114,4,598026,3.6705849170684814
604180,3,598026,3.6705849170684814
604177,2,598026,3.6705849170684814
604304,55,603603,5.008049726486206
604211,24,603603,5.008049726486206
604277,13,603603,5.008049726486206
604258,10,603603,5.008049726486206
604290,5,603603,5.008049726486206
604299,3,603603,5.008049726486206
604208,2,603603,5.008049726486206
