platoonEvent_id,event_type,vehicle1_id,route_node1_id,vehicle2_id,route_node2_id,platoon_id,duration
858502_858417,CREATE,858502,858503,858417,858418,859175,0.007921
858502_858417,VIA,858502,858504,858417,858419,859175,0.013008
858502_858417,DISSOLVE,858502,858505,858417,858420,859175,0.006849
859088_858603,CREATE,859088,859102,858603,858647,859180,0.003032
859088_858603,VIA,859088,859103,858603,858648,859180,0.004017
859088_858603,VIA,859088,859104,858603,858649,859180,0.01069
859088_858603,VIA,859088,859105,858603,858650,859180,0.005745
859088_858603,VIA,859088,859106,858603,858651,859180,0.009275
859088_858603,VIA,859088,859107,858603,858652,859180,0.009247
859088_858603,VIA,859088,859108,858603,858653,859180,0.005613
859088_858603,VIA,859088,859109,858603,858654,859180,0.004627
859088_858603,VIA,859088,859110,858603,858655,859180,0.005916
859088_858603,VIA,859088,859111,858603,858656,859180,0.004862
859088_858603,VIA,859088,859112,858603,858657,859180,0.006838
859088_858603,VIA,859088,859113,858603,858658,859180,0.005001
859088_858603,VIA,859088,859114,858603,858659,859180,0.004466
859088_858603,VIA,859088,859115,858603,858660,859180,0.003956
859088_858603,VIA,859088,859116,858603,858661,859180,0.00692
859088_858603,VIA,859088,859117,858603,858662,859180,0.008154
859088_858603,VIA,859088,859118,858603,858663,859180,0.007929
859088_858603,VIA,859088,859119,858603,858664,859180,0.005998
859088_858603,VIA,859088,859120,858603,858665,859180,0.011873
859088_858603,VIA,859088,859121,858603,858666,859180,0.005077
859088_858603,VIA,859088,859122,858603,858667,859180,0.011421
859088_858603,VIA,859088,859123,858603,858668,859180,0.020269
859088_858603,VIA,859088,859124,858603,858669,859180,0.011454
859088_858603,VIA,859088,859125,858603,858670,859180,0.005413
859088_858603,VIA,859088,859126,858603,858671,859180,0.006941
859088_858603,VIA,859088,859127,858603,858672,859180,0.017536
859088_858603,VIA,859088,859128,858603,858673,859180,0.008118
859088_858603,VIA,859088,859129,858603,858674,859180,0.006868
859088_858603,VIA,859088,859130,858603,858675,859180,0.006993
859088_858603,VIA,859088,859131,858603,858676,859180,0.005001
859088_858603,VIA,859088,859132,858603,858677,859180,0.004522
859088_858603,VIA,859088,859133,858603,858678,859180,0.005318
859088_858603,VIA,859088,859134,858603,858679,859180,0.004728
859088_858603,VIA,859088,859135,858603,858680,859180,0.008531
859088_858603,VIA,859088,859136,858603,858681,859180,0.005269
859088_858603,VIA,859088,859137,858603,858682,859180,0.012695
859088_858603,VIA,859088,859138,858603,858683,859180,0.014879
859088_858603,VIA,859088,859139,858603,858684,859180,0.00295
859088_858603,VIA,859088,859140,858603,858685,859180,0.006688
859088_858603,VIA,859088,859141,858603,858686,859180,0.006482
859088_858603,VIA,859088,859142,858603,858687,859180,0.00699
859088_858603,VIA,859088,859143,858603,858688,859180,0.008001
859088_858603,VIA,859088,859144,858603,858689,859180,0.010051
859088_858603,VIA,859088,859145,858603,858690,859180,0.004113
859088_858603,VIA,859088,859146,858603,858691,859180,0.005064
859088_858603,VIA,859088,859147,858603,858692,859180,0.005593
859088_858603,VIA,859088,859148,858603,858693,859180,0.006002
859088_858603,VIA,859088,859149,858603,858694,859180,0.004974
859088_858603,DISSOLVE,859088,859150,858603,858695,859180,0.005821
859088_858745,CREATE,859088,859089,858745,858746,859277,0.005002
859088_858745,VIA,859088,859090,858745,858747,859277,0.004002
859088_858745,VIA,859088,859091,858745,858748,859277,0.004444
859088_858745,VIA,859088,859092,858745,858749,859277,0.004077
859088_858745,DISSOLVE,859088,859093,858745,858750,859277,0.005039
859088_858195,ADD,859088-Present,859134,858195-Added,858214,859180,0.034853
859088_858195,ADD,859088-Present,859135,858195-Added,858215,859180,0.004247
859088_858195,ADD,859088-Present,859136,858195-Added,858216,859180,0.006
859088_858195,ADD,859088-Present,859137,858195-Added,858217,859180,0.005
859088_858195,ADD,859088-Present,859138,858195-Added,858218,859180,0.005184
859088_858195,ADD,859088-Present,859139,858195-Added,858219,859180,0.003997
859088_858195,ADD,859088-Present,859140,858195-Added,858220,859180,0.005894
859088_858195,ADD,859088-Present,859141,858195-Added,858221,859180,0.004899
859088_858195,ADD,859088-Present,859142,858195-Added,858222,859180,0.005279
859088_858195,ADD,859088-Present,859143,858195-Added,858223,859180,0.002415
859088_858195,ADD,859088-Present,859144,858195-Added,858224,859180,0.004758
859088_858195,ADD,859088-Present,859145,858195-Added,858225,859180,0.004013
859088_858195,ADD,859088-Present,859146,858195-Added,858226,859180,0.00447
859088_858195,ADD,859088-Present,859147,858195-Added,858227,859180,0.005013
859088_858195,ADD,859088-Present,859148,858195-Added,858228,859180,0.004118
859088_858195,ADD,859088-Present,859149,858195-Added,858229,859180,0.004755
858113_858161,CREATE,858113,858134,858161,858168,859302,0.005184
858113_858161,VIA,858113,858135,858161,858169,859302,0.006341
858113_858161,VIA,858113,858136,858161,858170,859302,0.004298
858113_858161,VIA,858113,858137,858161,858171,859302,0.010567
858113_858161,VIA,858113,858138,858161,858172,859302,0.004
858113_858161,VIA,858113,858139,858161,858173,859302,0.004002
858113_858161,VIA,858113,858140,858161,858174,859302,0.003998
858113_858161,VIA,858113,858141,858161,858175,859302,0.004476
858113_858161,VIA,858113,858142,858161,858176,859302,0.005814
858113_858161,VIA,858113,858143,858161,858177,859302,0.004507
858113_858161,VIA,858113,858144,858161,858178,859302,0.003999
858113_858161,VIA,858113,858145,858161,858179,859302,0.01257
858113_858161,VIA,858113,858146,858161,858180,859302,0.008395
858113_858161,VIA,858113,858147,858161,858181,859302,0.014575
858113_858161,VIA,858113,858148,858161,858182,859302,0.009002
858113_858161,VIA,858113,858149,858161,858183,859302,0.005238
858113_858161,VIA,858113,858150,858161,858184,859302,0.004524
858113_858161,VIA,858113,858151,858161,858185,859302,0.009499
858113_858161,VIA,858113,858152,858161,858186,859302,0.004579
858113_858161,VIA,858113,858153,858161,858187,859302,0.005002
858113_858161,VIA,858113,858154,858161,858188,859302,0.004862
858113_858161,VIA,858113,858155,858161,858189,859302,0.004537
858113_858161,VIA,858113,858156,858161,858190,859302,0.004801
858113_858161,VIA,858113,858157,858161,858191,859302,0.004654
858113_858161,VIA,858113,858158,858161,858192,859302,0.007021
858113_858161,VIA,858113,858159,858161,858193,859302,0.004214
