vehicle_id,vehicle_creation_time,legal_requirements,technical_requirements,average_speed,earliest_departure,latest_arrival,vehicle_set_id,total_route_nodes_created
846485,0.44909,standard,standard,60.0,2026-02-07T14:08:55.379119,2026-02-07T15:08:55.379119,846484,27
858113,0.00302,standard,standard,60.0,2026-02-07T14:08:56.822373,2026-02-07T15:08:56.822373,846484,47
858161,0.003237,standard,standard,60.0,2026-02-07T14:08:57.710888,2026-02-07T15:08:57.710888,846484,33
858195,0.002999,standard,standard,60.0,2026-02-07T14:08:58.018575,2026-02-07T15:08:58.018575,846484,67
858263,0.001997,standard,standard,60.0,2026-02-07T14:08:59.223731,2026-02-07T15:08:59.223731,846484,20
858284,0.002001,standard,standard,60.0,2026-02-07T14:08:59.382789,2026-02-07T15:08:59.382789,846484,76
858361,0.003001,standard,standard,60.0,2026-02-07T14:09:00.932752,2026-02-07T15:09:00.932752,846484,55
858417,0.002,standard,standard,60.0,2026-02-07T14:09:01.332500,2026-02-07T15:09:01.332500,846484,21
858439,0.00343,standard,standard,60.0,2026-02-07T14:09:01.534052,2026-02-07T15:09:01.534052,846484,62
858502,0.003059,standard,standard,60.0,2026-02-07T14:09:02.071162,2026-02-07T15:09:02.071840,846484,25
858528,0.003123,standard,standard,60.0,2026-02-07T14:09:02.414508,2026-02-07T15:09:02.414508,846484,74
858603,0.0,standard,standard,60.0,2026-02-07T14:09:03.350036,2026-02-07T15:09:03.350036,846484,124
858728,0.002998,standard,standard,60.0,2026-02-07T14:09:04.556844,2026-02-07T15:09:04.556844,846484,16
858745,0.003156,standard,standard,60.0,2026-02-07T14:09:04.706361,2026-02-07T15:09:04.706361,846484,55
858801,0.003,standard,standard,60.0,2026-02-07T14:09:05.097641,2026-02-07T15:09:05.097641,846484,33
858835,0.001005,standard,standard,60.0,2026-02-07T14:09:05.329884,2026-02-07T15:09:05.329884,846484,93
858929,0.002004,standard,standard,60.0,2026-02-07T14:09:06.004340,2026-02-07T15:09:06.004340,846484,29
858959,0.00209,standard,standard,60.0,2026-02-07T14:09:06.269484,2026-02-07T15:09:06.269484,846484,76
859036,0.002,standard,standard,60.0,2026-02-07T14:09:06.893555,2026-02-07T15:09:06.893555,846484,51
859088,0.003215,standard,standard,60.0,2026-02-07T14:09:07.328302,2026-02-07T15:09:07.328302,846484,86
