platoonEvent_id,event_type,vehicle1_id,route_node1_id,vehicle2_id,route_node2_id,platoon_id,duration
863214_863542,CREATE,863214,863273,863542,863565,1044970,0.023053
863214_863542,VIA,863214,863274,863542,863566,1044970,0.01836
863214_863542,VIA,863214,863275,863542,863567,1044970,0.023023
863214_863542,VIA,863214,863276,863542,863568,1044970,0.020204
863214_863542,VIA,863214,863277,863542,863569,1044970,0.023124
863214_863542,VIA,863214,863278,863542,863570,1044970,0.021638
863214_863542,VIA,863214,863279,863542,863571,1044970,0.064033
863214_863542,VIA,863214,863280,863542,863572,1044970,0.105241
863214_863542,VIA,863214,863281,863542,863573,1044970,0.028938
863214_863542,VIA,863214,863282,863542,863574,1044970,0.016818
863214_863542,VIA,863214,863283,863542,863575,1044970,0.022807
863214_863542,VIA,863214,863284,863542,863576,1044970,0.03913
863214_863542,VIA,863214,863285,863542,863577,1044970,0.025403
863214_863542,DISSOLVE,863214,863286,863542,863578,1044970,0.028272
863214_863450,CREATE,863214,863230,863450,863455,1044997,0.033397
863214_863450,VIA,863214,863231,863450,863456,1044997,0.024179
863214_863450,VIA,863214,863232,863450,863457,1044997,0.023757
863214_863450,DISSOLVE,863214,863233,863450,863458,1044997,0.024879
863214_863112,ADD,863214-Present,863273,863112-Added,863136,1044970,0.017653
863214_863112,ADD,863214-Present,863274,863112-Added,863137,1044970,0.023377
863214_863112,ADD,863214-Present,863275,863112-Added,863138,1044970,0.019627
863214_863112,ADD,863214-Present,863276,863112-Added,863139,1044970,0.021906
863214_863112,ADD,863214-Present,863277,863112-Added,863140,1044970,0.016107
863214_863112,ADD,863214-Present,863278,863112-Added,863141,1044970,0.020778
863214_863112,ADD,863214-Present,863279,863112-Added,863142,1044970,0.017679
863214_863112,ADD,863214-Present,863280,863112-Added,863143,1044970,0.022281
863214_863112,ADD,863214-Present,863281,863112-Added,863144,1044970,0.016104
863214_863372,ADD,863214-Present,863273,863372-Added,863409,1044970,0.026442
863214_863372,ADD,863214-Present,863274,863372-Added,863410,1044970,0.016465
863214_863372,ADD,863214-Present,863275,863372-Added,863411,1044970,0.024352
863214_863372,ADD,863214-Present,863276,863372-Added,863412,1044970,0.024495
863214_863372,ADD,863214-Present,863277,863372-Added,863413,1044970,0.017018
863214_863372,ADD,863214-Present,863278,863372-Added,863414,1044970,0.021901
863214_863372,ADD,863214-Present,863279,863372-Added,863415,1044970,0.015924
863214_863372,ADD,863214-Present,863280,863372-Added,863416,1044970,0.025775
863214_863372,ADD,863214-Present,863281,863372-Added,863417,1044970,0.021672
863021_863316,CREATE,863021,863036,863316,863350,1045022,0.024257
863021_863316,VIA,863021,863037,863316,863351,1045022,0.022133
863021_863316,VIA,863021,863038,863316,863352,1045022,0.019877
863021_863316,VIA,863021,863039,863316,863353,1045022,0.021341
863021_863316,VIA,863021,863040,863316,863354,1045022,0.017515
863021_863316,VIA,863021,863041,863316,863355,1045022,0.029256
863021_863316,VIA,863021,863042,863316,863356,1045022,0.018143
863021_863316,VIA,863021,863043,863316,863357,1045022,0.027692
863021_863316,VIA,863021,863044,863316,863358,1045022,0.020389
863021_863316,VIA,863021,863045,863316,863359,1045022,0.02612
863021_863316,VIA,863021,863046,863316,863360,1045022,0.016491
863021_863316,VIA,863021,863047,863316,863361,1045022,0.029043
