platoon_id,number_of_events,vehicle_set,test_case_duration_time
1259131,95,1090335,21.335592031478882
1259038,29,1090335,21.335592031478882
1259180,22,1090335,21.335592031478882
1258952,18,1090335,21.335592031478882
1258976,18,1090335,21.335592031478882
1259096,18,1090335,21.335592031478882
1259023,16,1090335,21.335592031478882
1259011,8,1090335,21.335592031478882
1259264,7,1090335,21.335592031478882
1258969,4,1090335,21.335592031478882
1259226,3,1090335,21.335592031478882
1259223,2,1090335,21.335592031478882
1259261,2,1090335,21.335592031478882
1259314,2,1090335,21.335592031478882
1259362,123,1091809,58.25557279586792
1259478,115,1091809,58.25557279586792
1259634,54,1091809,58.25557279586792
1259436,53,1091809,58.25557279586792
1259613,36,1091809,58.25557279586792
1259383,27,1091809,58.25557279586792
1259773,18,1091809,58.25557279586792
1259746,16,1091809,58.25557279586792
1259682,14,1091809,58.25557279586792
1259846,9,1091809,58.25557279586792
1259688,8,1091809,58.25557279586792
1259980,8,1091809,58.25557279586792
1259637,7,1091809,58.25557279586792
1259353,5,1091809,58.25557279586792
1259839,4,1091809,58.25557279586792
1259939,2,1091809,58.25557279586792
1259970,2,1091809,58.25557279586792
1260007,2,1091809,58.25557279586792
1260201,37,1093729,45.90935254096985
1260278,34,1093729,45.90935254096985
1260150,33,1093729,45.90935254096985
1260112,30,1093729,45.90935254096985
1260316,27,1093729,45.90935254096985
1260511,22,1093729,45.90935254096985
1260117,17,1093729,45.90935254096985
1260369,17,1093729,45.90935254096985
1260400,16,1093729,45.90935254096985
1260471,14,1093729,45.90935254096985
1260431,12,1093729,45.90935254096985
1260454,9,1093729,45.90935254096985
1260389,7,1093729,45.90935254096985
1260109,5,1093729,45.90935254096985
1260195,5,1093729,45.90935254096985
1260555,5,1093729,45.90935254096985
1260190,3,1093729,45.90935254096985
1260275,3,1093729,45.90935254096985
1260871,41,1095330,42.917197465896606
1260644,38,1095330,42.917197465896606
1260617,25,1095330,42.917197465896606
1260828,22,1095330,42.917197465896606
1260945,19,1095330,42.917197465896606
1260725,13,1095330,42.917197465896606
1260772,13,1095330,42.917197465896606
1261007,9,1095330,42.917197465896606
1261025,8,1095330,42.917197465896606
1260987,7,1095330,42.917197465896606
1260797,6,1095330,42.917197465896606
1260716,5,1095330,42.917197465896606
1260808,5,1095330,42.917197465896606
1260610,4,1095330,42.917197465896606
1260761,4,1095330,42.917197465896606
1260812,4,1095330,42.917197465896606
1260819,4,1095330,42.917197465896606
1260750,3,1095330,42.917197465896606
1260764,3,1095330,42.917197465896606
